WKT
"POLYGON ((-73.745 40.855861840015457,-73.74466666651125 40.856439190553843,-73.743999999533756 40.856439190553843,-73.743666666045002 40.855861840015457,-73.743999999533756 40.855284489477079,-73.74466666651125 40.855284489477079,-73.745 40.855861840015457))"
"POLYGON ((-73.745 40.857016541092221,-73.74466666651125 40.8575938916306,-73.743999999533756 40.8575938916306,-73.743666666045002 40.857016541092221,-73.743999999533756 40.856439190553843,-73.74466666651125 40.856439190553843,-73.745 40.857016541092221))"
"POLYGON ((-73.745 40.858171242168979,-73.74466666651125 40.858748592707357,-73.743999999533756 40.858748592707357,-73.743666666045002 40.858171242168979,-73.743999999533756 40.8575938916306,-73.74466666651125 40.8575938916306,-73.745 40.858171242168979))"
"POLYGON ((-73.745 40.859325943245743,-73.74466666651125 40.859903293784122,-73.743999999533756 40.859903293784122,-73.743666666045002 40.859325943245743,-73.743999999533756 40.858748592707357,-73.74466666651125 40.858748592707357,-73.745 40.859325943245743))"
"POLYGON ((-73.745 40.8604806443225,-73.74466666651125 40.861057994860879,-73.743999999533756 40.861057994860879,-73.743666666045002 40.8604806443225,-73.743999999533756 40.859903293784122,-73.74466666651125 40.859903293784122,-73.745 40.8604806443225))"
"POLYGON ((-73.745 40.861635345399257,-73.74466666651125 40.862212695937643,-73.743999999533756 40.862212695937643,-73.743666666045002 40.861635345399257,-73.743999999533756 40.861057994860879,-73.74466666651125 40.861057994860879,-73.745 40.861635345399257))"
"POLYGON ((-73.745 40.862790046476022,-73.74466666651125 40.8633673970144,-73.743999999533756 40.8633673970144,-73.743666666045002 40.862790046476022,-73.743999999533756 40.862212695937643,-73.74466666651125 40.862212695937643,-73.745 40.862790046476022))"
"POLYGON ((-73.745 40.863944747552779,-73.74466666651125 40.864522098091157,-73.743999999533756 40.864522098091157,-73.743666666045002 40.863944747552779,-73.743999999533756 40.8633673970144,-73.74466666651125 40.8633673970144,-73.745 40.863944747552779))"
"POLYGON ((-73.745 40.865099448629543,-73.74466666651125 40.865676799167922,-73.743999999533756 40.865676799167922,-73.743666666045002 40.865099448629543,-73.743999999533756 40.864522098091157,-73.74466666651125 40.864522098091157,-73.745 40.865099448629543))"
"POLYGON ((-73.745 40.8662541497063,-73.74466666651125 40.866831500244679,-73.743999999533756 40.866831500244679,-73.743666666045002 40.8662541497063,-73.743999999533756 40.865676799167922,-73.74466666651125 40.865676799167922,-73.745 40.8662541497063))"
"POLYGON ((-73.745 40.867408850783058,-73.74466666651125 40.867986201321443,-73.743999999533756 40.867986201321443,-73.743666666045002 40.867408850783058,-73.743999999533756 40.866831500244679,-73.74466666651125 40.866831500244679,-73.745 40.867408850783058))"
"POLYGON ((-73.745 40.868563551859822,-73.74466666651125 40.8691409023982,-73.743999999533756 40.8691409023982,-73.743666666045002 40.868563551859822,-73.743999999533756 40.867986201321443,-73.74466666651125 40.867986201321443,-73.745 40.868563551859822))"
"POLYGON ((-73.745 40.869718252936579,-73.74466666651125 40.870295603474958,-73.743999999533756 40.870295603474958,-73.743666666045002 40.869718252936579,-73.743999999533756 40.8691409023982,-73.74466666651125 40.8691409023982,-73.745 40.869718252936579))"
"POLYGON ((-73.745 40.870872954013343,-73.74466666651125 40.871450304551722,-73.743999999533756 40.871450304551722,-73.743666666045002 40.870872954013343,-73.743999999533756 40.870295603474958,-73.74466666651125 40.870295603474958,-73.745 40.870872954013343))"
"POLYGON ((-73.745 40.8720276550901,-73.74466666651125 40.872605005628479,-73.743999999533756 40.872605005628479,-73.743666666045002 40.8720276550901,-73.743999999533756 40.871450304551722,-73.74466666651125 40.871450304551722,-73.745 40.8720276550901))"
"POLYGON ((-73.745 40.873182356166858,-73.74466666651125 40.873759706705243,-73.743999999533756 40.873759706705243,-73.743666666045002 40.873182356166858,-73.743999999533756 40.872605005628479,-73.74466666651125 40.872605005628479,-73.745 40.873182356166858))"
"POLYGON ((-73.745 40.874337057243622,-73.74466666651125 40.874914407782001,-73.743999999533756 40.874914407782001,-73.743666666045002 40.874337057243622,-73.743999999533756 40.873759706705243,-73.74466666651125 40.873759706705243,-73.745 40.874337057243622))"
"POLYGON ((-73.745 40.875491758320379,-73.74466666651125 40.876069108858758,-73.743999999533756 40.876069108858758,-73.743666666045002 40.875491758320379,-73.743999999533756 40.874914407782001,-73.74466666651125 40.874914407782001,-73.745 40.875491758320379))"
"POLYGON ((-73.745 40.876646459397143,-73.74466666651125 40.877223809935522,-73.743999999533756 40.877223809935522,-73.743666666045002 40.876646459397143,-73.743999999533756 40.876069108858758,-73.74466666651125 40.876069108858758,-73.745 40.876646459397143))"
"POLYGON ((-73.745 40.877801160473901,-73.74466666651125 40.878378511012279,-73.743999999533756 40.878378511012279,-73.743666666045002 40.877801160473901,-73.743999999533756 40.877223809935522,-73.74466666651125 40.877223809935522,-73.745 40.877801160473901))"
"POLYGON ((-73.745 40.878955861550658,-73.74466666651125 40.879533212089044,-73.743999999533756 40.879533212089044,-73.743666666045002 40.878955861550658,-73.743999999533756 40.878378511012279,-73.74466666651125 40.878378511012279,-73.745 40.878955861550658))"
"POLYGON ((-73.745 40.880110562627422,-73.74466666651125 40.880687913165801,-73.743999999533756 40.880687913165801,-73.743666666045002 40.880110562627422,-73.743999999533756 40.879533212089044,-73.74466666651125 40.879533212089044,-73.745 40.880110562627422))"
"POLYGON ((-73.745 40.881265263704179,-73.74466666651125 40.881842614242558,-73.743999999533756 40.881842614242558,-73.743666666045002 40.881265263704179,-73.743999999533756 40.880687913165801,-73.74466666651125 40.880687913165801,-73.745 40.881265263704179))"
"POLYGON ((-73.745 40.882419964780944,-73.74466666651125 40.882997315319322,-73.743999999533756 40.882997315319322,-73.743666666045002 40.882419964780944,-73.743999999533756 40.881842614242558,-73.74466666651125 40.881842614242558,-73.745 40.882419964780944))"
"POLYGON ((-73.745 40.883574665857701,-73.74466666651125 40.884152016396079,-73.743999999533756 40.884152016396079,-73.743666666045002 40.883574665857701,-73.743999999533756 40.882997315319322,-73.74466666651125 40.882997315319322,-73.745 40.883574665857701))"
"POLYGON ((-73.745 40.884729366934458,-73.74466666651125 40.885306717472844,-73.743999999533756 40.885306717472844,-73.743666666045002 40.884729366934458,-73.743999999533756 40.884152016396079,-73.74466666651125 40.884152016396079,-73.745 40.884729366934458))"
"POLYGON ((-73.745 40.885884068011222,-73.74466666651125 40.886461418549601,-73.743999999533756 40.886461418549601,-73.743666666045002 40.885884068011222,-73.743999999533756 40.885306717472844,-73.74466666651125 40.885306717472844,-73.745 40.885884068011222))"
"POLYGON ((-73.745 40.88703876908798,-73.74466666651125 40.887616119626358,-73.743999999533756 40.887616119626358,-73.743666666045002 40.88703876908798,-73.743999999533756 40.886461418549601,-73.74466666651125 40.886461418549601,-73.745 40.88703876908798))"
"POLYGON ((-73.745 40.888193470164744,-73.74466666651125 40.888770820703122,-73.743999999533756 40.888770820703122,-73.743666666045002 40.888193470164744,-73.743999999533756 40.887616119626358,-73.74466666651125 40.887616119626358,-73.745 40.888193470164744))"
"POLYGON ((-73.745 40.889348171241501,-73.74466666651125 40.88992552177988,-73.743999999533756 40.88992552177988,-73.743666666045002 40.889348171241501,-73.743999999533756 40.888770820703122,-73.74466666651125 40.888770820703122,-73.745 40.889348171241501))"
"POLYGON ((-73.745 40.890502872318258,-73.74466666651125 40.891080222856644,-73.743999999533756 40.891080222856644,-73.743666666045002 40.890502872318258,-73.743999999533756 40.88992552177988,-73.74466666651125 40.88992552177988,-73.745 40.890502872318258))"
"POLYGON ((-73.745 40.891657573395022,-73.74466666651125 40.892234923933401,-73.743999999533756 40.892234923933401,-73.743666666045002 40.891657573395022,-73.743999999533756 40.891080222856644,-73.74466666651125 40.891080222856644,-73.745 40.891657573395022))"
"POLYGON ((-73.745 40.89281227447178,-73.74466666651125 40.893389625010158,-73.743999999533756 40.893389625010158,-73.743666666045002 40.89281227447178,-73.743999999533756 40.892234923933401,-73.74466666651125 40.892234923933401,-73.745 40.89281227447178))"
"POLYGON ((-73.745 40.893966975548544,-73.74466666651125 40.894544326086923,-73.743999999533756 40.894544326086923,-73.743666666045002 40.893966975548544,-73.743999999533756 40.893389625010158,-73.74466666651125 40.893389625010158,-73.745 40.893966975548544))"
"POLYGON ((-73.745 40.895121676625301,-73.74466666651125 40.89569902716368,-73.743999999533756 40.89569902716368,-73.743666666045002 40.895121676625301,-73.743999999533756 40.894544326086923,-73.74466666651125 40.894544326086923,-73.745 40.895121676625301))"
"POLYGON ((-73.745 40.896276377702058,-73.74466666651125 40.896853728240444,-73.743999999533756 40.896853728240444,-73.743666666045002 40.896276377702058,-73.743999999533756 40.89569902716368,-73.74466666651125 40.89569902716368,-73.745 40.896276377702058))"
"POLYGON ((-73.745 40.897431078778823,-73.74466666651125 40.898008429317201,-73.743999999533756 40.898008429317201,-73.743666666045002 40.897431078778823,-73.743999999533756 40.896853728240444,-73.74466666651125 40.896853728240444,-73.745 40.897431078778823))"
"POLYGON ((-73.745 40.89858577985558,-73.74466666651125 40.899163130393958,-73.743999999533756 40.899163130393958,-73.743666666045002 40.89858577985558,-73.743999999533756 40.898008429317201,-73.74466666651125 40.898008429317201,-73.745 40.89858577985558))"
"POLYGON ((-73.745 40.899740480932337,-73.74466666651125 40.900317831470723,-73.743999999533756 40.900317831470723,-73.743666666045002 40.899740480932337,-73.743999999533756 40.899163130393958,-73.74466666651125 40.899163130393958,-73.745 40.899740480932337))"
"POLYGON ((-73.745 40.900895182009101,-73.74466666651125 40.90147253254748,-73.743999999533756 40.90147253254748,-73.743666666045002 40.900895182009101,-73.743999999533756 40.900317831470723,-73.74466666651125 40.900317831470723,-73.745 40.900895182009101))"
"POLYGON ((-73.745 40.902049883085859,-73.74466666651125 40.902627233624237,-73.743999999533756 40.902627233624237,-73.743666666045002 40.902049883085859,-73.743999999533756 40.90147253254748,-73.74466666651125 40.90147253254748,-73.745 40.902049883085859))"
"POLYGON ((-73.745 40.903204584162623,-73.74466666651125 40.903781934701001,-73.743999999533756 40.903781934701001,-73.743666666045002 40.903204584162623,-73.743999999533756 40.902627233624237,-73.74466666651125 40.902627233624237,-73.745 40.903204584162623))"
"POLYGON ((-73.745 40.90435928523938,-73.74466666651125 40.904936635777759,-73.743999999533756 40.904936635777759,-73.743666666045002 40.90435928523938,-73.743999999533756 40.903781934701001,-73.74466666651125 40.903781934701001,-73.745 40.90435928523938))"
"POLYGON ((-73.745 40.905513986316137,-73.74466666651125 40.906091336854523,-73.743999999533756 40.906091336854523,-73.743666666045002 40.905513986316137,-73.743999999533756 40.904936635777759,-73.74466666651125 40.904936635777759,-73.745 40.905513986316137))"
"POLYGON ((-73.745 40.906668687392902,-73.74466666651125 40.90724603793128,-73.743999999533756 40.90724603793128,-73.743666666045002 40.906668687392902,-73.743999999533756 40.906091336854523,-73.74466666651125 40.906091336854523,-73.745 40.906668687392902))"
"POLYGON ((-73.745 40.907823388469659,-73.74466666651125 40.908400739008037,-73.743999999533756 40.908400739008037,-73.743666666045002 40.907823388469659,-73.743999999533756 40.90724603793128,-73.74466666651125 40.90724603793128,-73.745 40.907823388469659))"
"POLYGON ((-73.745 40.908978089546423,-73.74466666651125 40.909555440084802,-73.743999999533756 40.909555440084802,-73.743666666045002 40.908978089546423,-73.743999999533756 40.908400739008037,-73.74466666651125 40.908400739008037,-73.745 40.908978089546423))"
"POLYGON ((-73.745 40.91013279062318,-73.74466666651125 40.910710141161559,-73.743999999533756 40.910710141161559,-73.743666666045002 40.91013279062318,-73.743999999533756 40.909555440084802,-73.74466666651125 40.909555440084802,-73.745 40.91013279062318))"
"POLYGON ((-73.745 40.911287491699937,-73.74466666651125 40.911864842238323,-73.743999999533756 40.911864842238323,-73.743666666045002 40.911287491699937,-73.743999999533756 40.910710141161559,-73.74466666651125 40.910710141161559,-73.745 40.911287491699937))"
"POLYGON ((-73.745 40.912442192776702,-73.74466666651125 40.91301954331508,-73.743999999533756 40.91301954331508,-73.743666666045002 40.912442192776702,-73.743999999533756 40.911864842238323,-73.74466666651125 40.911864842238323,-73.745 40.912442192776702))"
"POLYGON ((-73.745 40.913596893853459,-73.74466666651125 40.914174244391837,-73.743999999533756 40.914174244391837,-73.743666666045002 40.913596893853459,-73.743999999533756 40.91301954331508,-73.74466666651125 40.91301954331508,-73.745 40.913596893853459))"
"POLYGON ((-73.745 40.914751594930223,-73.74466666651125 40.915328945468602,-73.743999999533756 40.915328945468602,-73.743666666045002 40.914751594930223,-73.743999999533756 40.914174244391837,-73.74466666651125 40.914174244391837,-73.745 40.914751594930223))"
"POLYGON ((-73.745 40.91590629600698,-73.74466666651125 40.916483646545359,-73.743999999533756 40.916483646545359,-73.743666666045002 40.91590629600698,-73.743999999533756 40.915328945468602,-73.74466666651125 40.915328945468602,-73.745 40.91590629600698))"
"POLYGON ((-73.745 40.917060997083738,-73.74466666651125 40.917638347622123,-73.743999999533756 40.917638347622123,-73.743666666045002 40.917060997083738,-73.743999999533756 40.916483646545359,-73.74466666651125 40.916483646545359,-73.745 40.917060997083738))"
"POLYGON ((-73.745 40.918215698160502,-73.74466666651125 40.91879304869888,-73.743999999533756 40.91879304869888,-73.743666666045002 40.918215698160502,-73.743999999533756 40.917638347622123,-73.74466666651125 40.917638347622123,-73.745 40.918215698160502))"
"POLYGON ((-73.745 40.919370399237259,-73.74466666651125 40.919947749775638,-73.743999999533756 40.919947749775638,-73.743666666045002 40.919370399237259,-73.743999999533756 40.91879304869888,-73.74466666651125 40.91879304869888,-73.745 40.919370399237259))"
"POLYGON ((-73.745 40.920525100314023,-73.74466666651125 40.921102450852402,-73.743999999533756 40.921102450852402,-73.743666666045002 40.920525100314023,-73.743999999533756 40.919947749775638,-73.74466666651125 40.919947749775638,-73.745 40.920525100314023))"
"POLYGON ((-73.745 40.921679801390781,-73.74466666651125 40.922257151929159,-73.743999999533756 40.922257151929159,-73.743666666045002 40.921679801390781,-73.743999999533756 40.921102450852402,-73.74466666651125 40.921102450852402,-73.745 40.921679801390781))"
"POLYGON ((-73.745 40.922834502467538,-73.74466666651125 40.923411853005923,-73.743999999533756 40.923411853005923,-73.743666666045002 40.922834502467538,-73.743999999533756 40.922257151929159,-73.74466666651125 40.922257151929159,-73.745 40.922834502467538))"
"POLYGON ((-73.745 40.923989203544302,-73.74466666651125 40.924566554082681,-73.743999999533756 40.924566554082681,-73.743666666045002 40.923989203544302,-73.743999999533756 40.923411853005923,-73.74466666651125 40.923411853005923,-73.745 40.923989203544302))"
"POLYGON ((-73.745 40.925143904621059,-73.74466666651125 40.925721255159438,-73.743999999533756 40.925721255159438,-73.743666666045002 40.925143904621059,-73.743999999533756 40.924566554082681,-73.74466666651125 40.924566554082681,-73.745 40.925143904621059))"
"POLYGON ((-73.745 40.926298605697824,-73.74466666651125 40.926875956236202,-73.743999999533756 40.926875956236202,-73.743666666045002 40.926298605697824,-73.743999999533756 40.925721255159438,-73.74466666651125 40.925721255159438,-73.745 40.926298605697824))"
"POLYGON ((-73.745 40.927453306774581,-73.74466666651125 40.928030657312959,-73.743999999533756 40.928030657312959,-73.743666666045002 40.927453306774581,-73.743999999533756 40.926875956236202,-73.74466666651125 40.926875956236202,-73.745 40.927453306774581))"
"POLYGON ((-73.745 40.928608007851338,-73.74466666651125 40.929185358389724,-73.743999999533756 40.929185358389724,-73.743666666045002 40.928608007851338,-73.743999999533756 40.928030657312959,-73.74466666651125 40.928030657312959,-73.745 40.928608007851338))"
"POLYGON ((-73.745 40.929762708928102,-73.74466666651125 40.930340059466481,-73.743999999533756 40.930340059466481,-73.743666666045002 40.929762708928102,-73.743999999533756 40.929185358389724,-73.74466666651125 40.929185358389724,-73.745 40.929762708928102))"
"POLYGON ((-73.745 40.930917410004859,-73.74466666651125 40.931494760543238,-73.743999999533756 40.931494760543238,-73.743666666045002 40.930917410004859,-73.743999999533756 40.930340059466481,-73.74466666651125 40.930340059466481,-73.745 40.930917410004859))"
"POLYGON ((-73.745 40.932072111081624,-73.74466666651125 40.932649461620002,-73.743999999533756 40.932649461620002,-73.743666666045002 40.932072111081624,-73.743999999533756 40.931494760543238,-73.74466666651125 40.931494760543238,-73.745 40.932072111081624))"
"POLYGON ((-73.745 40.933226812158381,-73.74466666651125 40.933804162696759,-73.743999999533756 40.933804162696759,-73.743666666045002 40.933226812158381,-73.743999999533756 40.932649461620002,-73.74466666651125 40.932649461620002,-73.745 40.933226812158381))"
"POLYGON ((-73.745 40.934381513235138,-73.74466666651125 40.934958863773524,-73.743999999533756 40.934958863773524,-73.743666666045002 40.934381513235138,-73.743999999533756 40.933804162696759,-73.74466666651125 40.933804162696759,-73.745 40.934381513235138))"
"POLYGON ((-73.745 40.935536214311902,-73.74466666651125 40.936113564850281,-73.743999999533756 40.936113564850281,-73.743666666045002 40.935536214311902,-73.743999999533756 40.934958863773524,-73.74466666651125 40.934958863773524,-73.745 40.935536214311902))"
"POLYGON ((-73.745 40.93669091538866,-73.74466666651125 40.937268265927038,-73.743999999533756 40.937268265927038,-73.743666666045002 40.93669091538866,-73.743999999533756 40.936113564850281,-73.74466666651125 40.936113564850281,-73.745 40.93669091538866))"
"POLYGON ((-73.745 40.937845616465424,-73.74466666651125 40.938422967003802,-73.743999999533756 40.938422967003802,-73.743666666045002 40.937845616465424,-73.743999999533756 40.937268265927038,-73.74466666651125 40.937268265927038,-73.745 40.937845616465424))"
"POLYGON ((-73.745 40.939000317542181,-73.74466666651125 40.93957766808056,-73.743999999533756 40.93957766808056,-73.743666666045002 40.939000317542181,-73.743999999533756 40.938422967003802,-73.74466666651125 40.938422967003802,-73.745 40.939000317542181))"
"POLYGON ((-73.745 40.940155018618938,-73.74466666651125 40.940732369157324,-73.743999999533756 40.940732369157324,-73.743666666045002 40.940155018618938,-73.743999999533756 40.93957766808056,-73.74466666651125 40.93957766808056,-73.745 40.940155018618938))"
"POLYGON ((-73.745 40.941309719695703,-73.74466666651125 40.941887070234081,-73.743999999533756 40.941887070234081,-73.743666666045002 40.941309719695703,-73.743999999533756 40.940732369157324,-73.74466666651125 40.940732369157324,-73.745 40.941309719695703))"
"POLYGON ((-73.745 40.94246442077246,-73.74466666651125 40.943041771310838,-73.743999999533756 40.943041771310838,-73.743666666045002 40.94246442077246,-73.743999999533756 40.941887070234081,-73.74466666651125 40.941887070234081,-73.745 40.94246442077246))"
"POLYGON ((-73.745 40.943619121849224,-73.74466666651125 40.944196472387603,-73.743999999533756 40.944196472387603,-73.743666666045002 40.943619121849224,-73.743999999533756 40.943041771310838,-73.74466666651125 40.943041771310838,-73.745 40.943619121849224))"
"POLYGON ((-73.745 40.944773822925981,-73.74466666651125 40.94535117346436,-73.743999999533756 40.94535117346436,-73.743666666045002 40.944773822925981,-73.743999999533756 40.944196472387603,-73.74466666651125 40.944196472387603,-73.745 40.944773822925981))"
"POLYGON ((-73.745 40.945928524002738,-73.74466666651125 40.946505874541117,-73.743999999533756 40.946505874541117,-73.743666666045002 40.945928524002738,-73.743999999533756 40.94535117346436,-73.74466666651125 40.94535117346436,-73.745 40.945928524002738))"
"POLYGON ((-73.745 40.947083225079503,-73.74466666651125 40.947660575617881,-73.743999999533756 40.947660575617881,-73.743666666045002 40.947083225079503,-73.743999999533756 40.946505874541117,-73.74466666651125 40.946505874541117,-73.745 40.947083225079503))"
"POLYGON ((-73.745 40.94823792615626,-73.74466666651125 40.948815276694638,-73.743999999533756 40.948815276694638,-73.743666666045002 40.94823792615626,-73.743999999533756 40.947660575617881,-73.74466666651125 40.947660575617881,-73.745 40.94823792615626))"
"POLYGON ((-73.745 40.949392627233017,-73.74466666651125 40.949969977771403,-73.743999999533756 40.949969977771403,-73.743666666045002 40.949392627233017,-73.743999999533756 40.948815276694638,-73.74466666651125 40.948815276694638,-73.745 40.949392627233017))"
"POLYGON ((-73.745 40.950547328309781,-73.74466666651125 40.95112467884816,-73.743999999533756 40.95112467884816,-73.743666666045002 40.950547328309781,-73.743999999533756 40.949969977771403,-73.74466666651125 40.949969977771403,-73.745 40.950547328309781))"
"POLYGON ((-73.745 40.951702029386539,-73.74466666651125 40.952279379924917,-73.743999999533756 40.952279379924917,-73.743666666045002 40.951702029386539,-73.743999999533756 40.95112467884816,-73.74466666651125 40.95112467884816,-73.745 40.951702029386539))"
"POLYGON ((-73.745 40.952856730463303,-73.74466666651125 40.953434081001681,-73.743999999533756 40.953434081001681,-73.743666666045002 40.952856730463303,-73.743999999533756 40.952279379924917,-73.74466666651125 40.952279379924917,-73.745 40.952856730463303))"
"POLYGON ((-73.745 40.95401143154006,-73.74466666651125 40.954588782078439,-73.743999999533756 40.954588782078439,-73.743666666045002 40.95401143154006,-73.743999999533756 40.953434081001681,-73.74466666651125 40.953434081001681,-73.745 40.95401143154006))"
"POLYGON ((-73.745 40.955166132616817,-73.74466666651125 40.955743483155203,-73.743999999533756 40.955743483155203,-73.743666666045002 40.955166132616817,-73.743999999533756 40.954588782078439,-73.74466666651125 40.954588782078439,-73.745 40.955166132616817))"
"POLYGON ((-73.745 40.956320833693582,-73.74466666651125 40.95689818423196,-73.743999999533756 40.95689818423196,-73.743666666045002 40.956320833693582,-73.743999999533756 40.955743483155203,-73.74466666651125 40.955743483155203,-73.745 40.956320833693582))"
"POLYGON ((-73.745 40.957475534770339,-73.74466666651125 40.958052885308717,-73.743999999533756 40.958052885308717,-73.743666666045002 40.957475534770339,-73.743999999533756 40.95689818423196,-73.74466666651125 40.95689818423196,-73.745 40.957475534770339))"
