WKT
"POLYGON ((-73.745 41.307349961028621,-73.74466666651125 41.307927311566999,-73.743999999533756 41.307927311566999,-73.743666666045002 41.307349961028621,-73.743999999533756 41.306772610490242,-73.74466666651125 41.306772610490242,-73.745 41.307349961028621))"
"POLYGON ((-73.745 41.308504662105378,-73.74466666651125 41.309082012643763,-73.743999999533756 41.309082012643763,-73.743666666045002 41.308504662105378,-73.743999999533756 41.307927311566999,-73.74466666651125 41.307927311566999,-73.745 41.308504662105378))"
"POLYGON ((-73.745 41.309659363182142,-73.74466666651125 41.310236713720521,-73.743999999533756 41.310236713720521,-73.743666666045002 41.309659363182142,-73.743999999533756 41.309082012643763,-73.74466666651125 41.309082012643763,-73.745 41.309659363182142))"
"POLYGON ((-73.745 41.310814064258899,-73.74466666651125 41.311391414797278,-73.743999999533756 41.311391414797278,-73.743666666045002 41.310814064258899,-73.743999999533756 41.310236713720521,-73.74466666651125 41.310236713720521,-73.745 41.310814064258899))"
"POLYGON ((-73.745 41.311968765335664,-73.74466666651125 41.312546115874042,-73.743999999533756 41.312546115874042,-73.743666666045002 41.311968765335664,-73.743999999533756 41.311391414797278,-73.74466666651125 41.311391414797278,-73.745 41.311968765335664))"
"POLYGON ((-73.745 41.313123466412421,-73.74466666651125 41.313700816950799,-73.743999999533756 41.313700816950799,-73.743666666045002 41.313123466412421,-73.743999999533756 41.312546115874042,-73.74466666651125 41.312546115874042,-73.745 41.313123466412421))"
"POLYGON ((-73.745 41.314278167489178,-73.74466666651125 41.314855518027564,-73.743999999533756 41.314855518027564,-73.743666666045002 41.314278167489178,-73.743999999533756 41.313700816950799,-73.74466666651125 41.313700816950799,-73.745 41.314278167489178))"
"POLYGON ((-73.745 41.315432868565942,-73.74466666651125 41.316010219104321,-73.743999999533756 41.316010219104321,-73.743666666045002 41.315432868565942,-73.743999999533756 41.314855518027564,-73.74466666651125 41.314855518027564,-73.745 41.315432868565942))"
"POLYGON ((-73.745 41.316587569642699,-73.74466666651125 41.317164920181078,-73.743999999533756 41.317164920181078,-73.743666666045002 41.316587569642699,-73.743999999533756 41.316010219104321,-73.74466666651125 41.316010219104321,-73.745 41.316587569642699))"
"POLYGON ((-73.745 41.317742270719464,-73.74466666651125 41.318319621257842,-73.743999999533756 41.318319621257842,-73.743666666045002 41.317742270719464,-73.743999999533756 41.317164920181078,-73.74466666651125 41.317164920181078,-73.745 41.317742270719464))"
"POLYGON ((-73.745 41.318896971796221,-73.74466666651125 41.319474322334599,-73.743999999533756 41.319474322334599,-73.743666666045002 41.318896971796221,-73.743999999533756 41.318319621257842,-73.74466666651125 41.318319621257842,-73.745 41.318896971796221))"
"POLYGON ((-73.745 41.320051672872978,-73.74466666651125 41.320629023411364,-73.743999999533756 41.320629023411364,-73.743666666045002 41.320051672872978,-73.743999999533756 41.319474322334599,-73.74466666651125 41.319474322334599,-73.745 41.320051672872978))"
"POLYGON ((-73.745 41.321206373949742,-73.74466666651125 41.321783724488121,-73.743999999533756 41.321783724488121,-73.743666666045002 41.321206373949742,-73.743999999533756 41.320629023411364,-73.74466666651125 41.320629023411364,-73.745 41.321206373949742))"
"POLYGON ((-73.745 41.3223610750265,-73.74466666651125 41.322938425564878,-73.743999999533756 41.322938425564878,-73.743666666045002 41.3223610750265,-73.743999999533756 41.321783724488121,-73.74466666651125 41.321783724488121,-73.745 41.3223610750265))"
"POLYGON ((-73.745 41.323515776103264,-73.74466666651125 41.324093126641642,-73.743999999533756 41.324093126641642,-73.743666666045002 41.323515776103264,-73.743999999533756 41.322938425564878,-73.74466666651125 41.322938425564878,-73.745 41.323515776103264))"
"POLYGON ((-73.745 41.324670477180021,-73.74466666651125 41.3252478277184,-73.743999999533756 41.3252478277184,-73.743666666045002 41.324670477180021,-73.743999999533756 41.324093126641642,-73.74466666651125 41.324093126641642,-73.745 41.324670477180021))"
"POLYGON ((-73.745 41.325825178256778,-73.74466666651125 41.326402528795164,-73.743999999533756 41.326402528795164,-73.743666666045002 41.325825178256778,-73.743999999533756 41.3252478277184,-73.74466666651125 41.3252478277184,-73.745 41.325825178256778))"
"POLYGON ((-73.745 41.326979879333543,-73.74466666651125 41.327557229871921,-73.743999999533756 41.327557229871921,-73.743666666045002 41.326979879333543,-73.743999999533756 41.326402528795164,-73.74466666651125 41.326402528795164,-73.745 41.326979879333543))"
"POLYGON ((-73.745 41.3281345804103,-73.74466666651125 41.328711930948678,-73.743999999533756 41.328711930948678,-73.743666666045002 41.3281345804103,-73.743999999533756 41.327557229871921,-73.74466666651125 41.327557229871921,-73.745 41.3281345804103))"
"POLYGON ((-73.745 41.329289281487064,-73.74466666651125 41.329866632025443,-73.743999999533756 41.329866632025443,-73.743666666045002 41.329289281487064,-73.743999999533756 41.328711930948678,-73.74466666651125 41.328711930948678,-73.745 41.329289281487064))"
"POLYGON ((-73.745 41.330443982563821,-73.74466666651125 41.3310213331022,-73.743999999533756 41.3310213331022,-73.743666666045002 41.330443982563821,-73.743999999533756 41.329866632025443,-73.74466666651125 41.329866632025443,-73.745 41.330443982563821))"
"POLYGON ((-73.745 41.331598683640578,-73.74466666651125 41.332176034178957,-73.743999999533756 41.332176034178957,-73.743666666045002 41.331598683640578,-73.743999999533756 41.3310213331022,-73.74466666651125 41.3310213331022,-73.745 41.331598683640578))"
"POLYGON ((-73.745 41.332753384717343,-73.74466666651125 41.333330735255721,-73.743999999533756 41.333330735255721,-73.743666666045002 41.332753384717343,-73.743999999533756 41.332176034178957,-73.74466666651125 41.332176034178957,-73.745 41.332753384717343))"
"POLYGON ((-73.745 41.3339080857941,-73.74466666651125 41.334485436332479,-73.743999999533756 41.334485436332479,-73.743666666045002 41.3339080857941,-73.743999999533756 41.333330735255721,-73.74466666651125 41.333330735255721,-73.745 41.3339080857941))"
"POLYGON ((-73.745 41.335062786870857,-73.74466666651125 41.335640137409243,-73.743999999533756 41.335640137409243,-73.743666666045002 41.335062786870857,-73.743999999533756 41.334485436332479,-73.74466666651125 41.334485436332479,-73.745 41.335062786870857))"
"POLYGON ((-73.745 41.336217487947621,-73.74466666651125 41.336794838486,-73.743999999533756 41.336794838486,-73.743666666045002 41.336217487947621,-73.743999999533756 41.335640137409243,-73.74466666651125 41.335640137409243,-73.745 41.336217487947621))"
"POLYGON ((-73.745 41.337372189024379,-73.74466666651125 41.337949539562757,-73.743999999533756 41.337949539562757,-73.743666666045002 41.337372189024379,-73.743999999533756 41.336794838486,-73.74466666651125 41.336794838486,-73.745 41.337372189024379))"
"POLYGON ((-73.745 41.338526890101143,-73.74466666651125 41.339104240639521,-73.743999999533756 41.339104240639521,-73.743666666045002 41.338526890101143,-73.743999999533756 41.337949539562757,-73.74466666651125 41.337949539562757,-73.745 41.338526890101143))"
"POLYGON ((-73.745 41.3396815911779,-73.74466666651125 41.340258941716279,-73.743999999533756 41.340258941716279,-73.743666666045002 41.3396815911779,-73.743999999533756 41.339104240639521,-73.74466666651125 41.339104240639521,-73.745 41.3396815911779))"
"POLYGON ((-73.745 41.340836292254657,-73.74466666651125 41.341413642793043,-73.743999999533756 41.341413642793043,-73.743666666045002 41.340836292254657,-73.743999999533756 41.340258941716279,-73.74466666651125 41.340258941716279,-73.745 41.340836292254657))"
"POLYGON ((-73.745 41.341990993331422,-73.74466666651125 41.3425683438698,-73.743999999533756 41.3425683438698,-73.743666666045002 41.341990993331422,-73.743999999533756 41.341413642793043,-73.74466666651125 41.341413642793043,-73.745 41.341990993331422))"
"POLYGON ((-73.745 41.343145694408179,-73.74466666651125 41.343723044946557,-73.743999999533756 41.343723044946557,-73.743666666045002 41.343145694408179,-73.743999999533756 41.3425683438698,-73.74466666651125 41.3425683438698,-73.745 41.343145694408179))"
"POLYGON ((-73.745 41.344300395484943,-73.74466666651125 41.344877746023322,-73.743999999533756 41.344877746023322,-73.743666666045002 41.344300395484943,-73.743999999533756 41.343723044946557,-73.74466666651125 41.343723044946557,-73.745 41.344300395484943))"
"POLYGON ((-73.745 41.3454550965617,-73.74466666651125 41.346032447100079,-73.743999999533756 41.346032447100079,-73.743666666045002 41.3454550965617,-73.743999999533756 41.344877746023322,-73.74466666651125 41.344877746023322,-73.745 41.3454550965617))"
"POLYGON ((-73.745 41.346609797638457,-73.74466666651125 41.347187148176843,-73.743999999533756 41.347187148176843,-73.743666666045002 41.346609797638457,-73.743999999533756 41.346032447100079,-73.74466666651125 41.346032447100079,-73.745 41.346609797638457))"
"POLYGON ((-73.745 41.347764498715222,-73.74466666651125 41.3483418492536,-73.743999999533756 41.3483418492536,-73.743666666045002 41.347764498715222,-73.743999999533756 41.347187148176843,-73.74466666651125 41.347187148176843,-73.745 41.347764498715222))"
"POLYGON ((-73.745 41.348919199791979,-73.74466666651125 41.349496550330358,-73.743999999533756 41.349496550330358,-73.743666666045002 41.348919199791979,-73.743999999533756 41.3483418492536,-73.74466666651125 41.3483418492536,-73.745 41.348919199791979))"
"POLYGON ((-73.745 41.350073900868743,-73.74466666651125 41.350651251407122,-73.743999999533756 41.350651251407122,-73.743666666045002 41.350073900868743,-73.743999999533756 41.349496550330358,-73.74466666651125 41.349496550330358,-73.745 41.350073900868743))"
"POLYGON ((-73.745 41.3512286019455,-73.74466666651125 41.351805952483879,-73.743999999533756 41.351805952483879,-73.743666666045002 41.3512286019455,-73.743999999533756 41.350651251407122,-73.74466666651125 41.350651251407122,-73.745 41.3512286019455))"
"POLYGON ((-73.745 41.352383303022258,-73.74466666651125 41.352960653560643,-73.743999999533756 41.352960653560643,-73.743666666045002 41.352383303022258,-73.743999999533756 41.351805952483879,-73.74466666651125 41.351805952483879,-73.745 41.352383303022258))"
"POLYGON ((-73.745 41.353538004099022,-73.74466666651125 41.354115354637401,-73.743999999533756 41.354115354637401,-73.743666666045002 41.353538004099022,-73.743999999533756 41.352960653560643,-73.74466666651125 41.352960653560643,-73.745 41.353538004099022))"
"POLYGON ((-73.745 41.354692705175779,-73.74466666651125 41.355270055714158,-73.743999999533756 41.355270055714158,-73.743666666045002 41.354692705175779,-73.743999999533756 41.354115354637401,-73.74466666651125 41.354115354637401,-73.745 41.354692705175779))"
"POLYGON ((-73.745 41.355847406252543,-73.74466666651125 41.356424756790922,-73.743999999533756 41.356424756790922,-73.743666666045002 41.355847406252543,-73.743999999533756 41.355270055714158,-73.74466666651125 41.355270055714158,-73.745 41.355847406252543))"
"POLYGON ((-73.745 41.357002107329301,-73.74466666651125 41.357579457867679,-73.743999999533756 41.357579457867679,-73.743666666045002 41.357002107329301,-73.743999999533756 41.356424756790922,-73.74466666651125 41.356424756790922,-73.745 41.357002107329301))"
"POLYGON ((-73.745 41.358156808406058,-73.74466666651125 41.358734158944443,-73.743999999533756 41.358734158944443,-73.743666666045002 41.358156808406058,-73.743999999533756 41.357579457867679,-73.74466666651125 41.357579457867679,-73.745 41.358156808406058))"
"POLYGON ((-73.745 41.359311509482822,-73.74466666651125 41.359888860021201,-73.743999999533756 41.359888860021201,-73.743666666045002 41.359311509482822,-73.743999999533756 41.358734158944443,-73.74466666651125 41.358734158944443,-73.745 41.359311509482822))"
"POLYGON ((-73.745 41.360466210559579,-73.74466666651125 41.361043561097958,-73.743999999533756 41.361043561097958,-73.743666666045002 41.360466210559579,-73.743999999533756 41.359888860021201,-73.74466666651125 41.359888860021201,-73.745 41.360466210559579))"
"POLYGON ((-73.745 41.361620911636344,-73.74466666651125 41.362198262174722,-73.743999999533756 41.362198262174722,-73.743666666045002 41.361620911636344,-73.743999999533756 41.361043561097958,-73.74466666651125 41.361043561097958,-73.745 41.361620911636344))"
"POLYGON ((-73.745 41.362775612713101,-73.74466666651125 41.363352963251479,-73.743999999533756 41.363352963251479,-73.743666666045002 41.362775612713101,-73.743999999533756 41.362198262174722,-73.74466666651125 41.362198262174722,-73.745 41.362775612713101))"
"POLYGON ((-73.745 41.363930313789858,-73.74466666651125 41.364507664328244,-73.743999999533756 41.364507664328244,-73.743666666045002 41.363930313789858,-73.743999999533756 41.363352963251479,-73.74466666651125 41.363352963251479,-73.745 41.363930313789858))"
"POLYGON ((-73.745 41.365085014866622,-73.74466666651125 41.365662365405001,-73.743999999533756 41.365662365405001,-73.743666666045002 41.365085014866622,-73.743999999533756 41.364507664328244,-73.74466666651125 41.364507664328244,-73.745 41.365085014866622))"
"POLYGON ((-73.745 41.366239715943379,-73.74466666651125 41.366817066481758,-73.743999999533756 41.366817066481758,-73.743666666045002 41.366239715943379,-73.743999999533756 41.365662365405001,-73.74466666651125 41.365662365405001,-73.745 41.366239715943379))"
"POLYGON ((-73.745 41.367394417020144,-73.74466666651125 41.367971767558522,-73.743999999533756 41.367971767558522,-73.743666666045002 41.367394417020144,-73.743999999533756 41.366817066481758,-73.74466666651125 41.366817066481758,-73.745 41.367394417020144))"
"POLYGON ((-73.745 41.368549118096901,-73.74466666651125 41.36912646863528,-73.743999999533756 41.36912646863528,-73.743666666045002 41.368549118096901,-73.743999999533756 41.367971767558522,-73.74466666651125 41.367971767558522,-73.745 41.368549118096901))"
"POLYGON ((-73.745 41.369703819173658,-73.74466666651125 41.370281169712044,-73.743999999533756 41.370281169712044,-73.743666666045002 41.369703819173658,-73.743999999533756 41.36912646863528,-73.74466666651125 41.36912646863528,-73.745 41.369703819173658))"
"POLYGON ((-73.745 41.370858520250422,-73.74466666651125 41.371435870788801,-73.743999999533756 41.371435870788801,-73.743666666045002 41.370858520250422,-73.743999999533756 41.370281169712044,-73.74466666651125 41.370281169712044,-73.745 41.370858520250422))"
"POLYGON ((-73.745 41.37201322132718,-73.74466666651125 41.372590571865558,-73.743999999533756 41.372590571865558,-73.743666666045002 41.37201322132718,-73.743999999533756 41.371435870788801,-73.74466666651125 41.371435870788801,-73.745 41.37201322132718))"
"POLYGON ((-73.745 41.373167922403944,-73.74466666651125 41.373745272942323,-73.743999999533756 41.373745272942323,-73.743666666045002 41.373167922403944,-73.743999999533756 41.372590571865558,-73.74466666651125 41.372590571865558,-73.745 41.373167922403944))"
"POLYGON ((-73.745 41.374322623480701,-73.74466666651125 41.37489997401908,-73.743999999533756 41.37489997401908,-73.743666666045002 41.374322623480701,-73.743999999533756 41.373745272942323,-73.74466666651125 41.373745272942323,-73.745 41.374322623480701))"
"POLYGON ((-73.745 41.375477324557458,-73.74466666651125 41.376054675095844,-73.743999999533756 41.376054675095844,-73.743666666045002 41.375477324557458,-73.743999999533756 41.37489997401908,-73.74466666651125 41.37489997401908,-73.745 41.375477324557458))"
"POLYGON ((-73.745 41.376632025634223,-73.74466666651125 41.377209376172601,-73.743999999533756 41.377209376172601,-73.743666666045002 41.376632025634223,-73.743999999533756 41.376054675095844,-73.74466666651125 41.376054675095844,-73.745 41.376632025634223))"
"POLYGON ((-73.745 41.37778672671098,-73.74466666651125 41.378364077249358,-73.743999999533756 41.378364077249358,-73.743666666045002 41.37778672671098,-73.743999999533756 41.377209376172601,-73.74466666651125 41.377209376172601,-73.745 41.37778672671098))"
"POLYGON ((-73.745 41.378941427787737,-73.74466666651125 41.379518778326123,-73.743999999533756 41.379518778326123,-73.743666666045002 41.378941427787737,-73.743999999533756 41.378364077249358,-73.74466666651125 41.378364077249358,-73.745 41.378941427787737))"
"POLYGON ((-73.745 41.380096128864501,-73.74466666651125 41.38067347940288,-73.743999999533756 41.38067347940288,-73.743666666045002 41.380096128864501,-73.743999999533756 41.379518778326123,-73.74466666651125 41.379518778326123,-73.745 41.380096128864501))"
"POLYGON ((-73.745 41.381250829941258,-73.74466666651125 41.381828180479637,-73.743999999533756 41.381828180479637,-73.743666666045002 41.381250829941258,-73.743999999533756 41.38067347940288,-73.74466666651125 41.38067347940288,-73.745 41.381250829941258))"
"POLYGON ((-73.745 41.382405531018023,-73.74466666651125 41.382982881556401,-73.743999999533756 41.382982881556401,-73.743666666045002 41.382405531018023,-73.743999999533756 41.381828180479637,-73.74466666651125 41.381828180479637,-73.745 41.382405531018023))"
"POLYGON ((-73.745 41.38356023209478,-73.74466666651125 41.384137582633159,-73.743999999533756 41.384137582633159,-73.743666666045002 41.38356023209478,-73.743999999533756 41.382982881556401,-73.74466666651125 41.382982881556401,-73.745 41.38356023209478))"
"POLYGON ((-73.745 41.384714933171537,-73.74466666651125 41.385292283709923,-73.743999999533756 41.385292283709923,-73.743666666045002 41.384714933171537,-73.743999999533756 41.384137582633159,-73.74466666651125 41.384137582633159,-73.745 41.384714933171537))"
"POLYGON ((-73.745 41.385869634248301,-73.74466666651125 41.38644698478668,-73.743999999533756 41.38644698478668,-73.743666666045002 41.385869634248301,-73.743999999533756 41.385292283709923,-73.74466666651125 41.385292283709923,-73.745 41.385869634248301))"
"POLYGON ((-73.745 41.387024335325059,-73.74466666651125 41.387601685863437,-73.743999999533756 41.387601685863437,-73.743666666045002 41.387024335325059,-73.743999999533756 41.38644698478668,-73.74466666651125 41.38644698478668,-73.745 41.387024335325059))"
"POLYGON ((-73.745 41.388179036401823,-73.74466666651125 41.388756386940202,-73.743999999533756 41.388756386940202,-73.743666666045002 41.388179036401823,-73.743999999533756 41.387601685863437,-73.74466666651125 41.387601685863437,-73.745 41.388179036401823))"
"POLYGON ((-73.745 41.38933373747858,-73.74466666651125 41.389911088016959,-73.743999999533756 41.389911088016959,-73.743666666045002 41.38933373747858,-73.743999999533756 41.388756386940202,-73.74466666651125 41.388756386940202,-73.745 41.38933373747858))"
"POLYGON ((-73.745 41.390488438555337,-73.74466666651125 41.391065789093723,-73.743999999533756 41.391065789093723,-73.743666666045002 41.390488438555337,-73.743999999533756 41.389911088016959,-73.74466666651125 41.389911088016959,-73.745 41.390488438555337))"
"POLYGON ((-73.745 41.391643139632102,-73.74466666651125 41.39222049017048,-73.743999999533756 41.39222049017048,-73.743666666045002 41.391643139632102,-73.743999999533756 41.391065789093723,-73.74466666651125 41.391065789093723,-73.745 41.391643139632102))"
"POLYGON ((-73.745 41.392797840708859,-73.74466666651125 41.393375191247237,-73.743999999533756 41.393375191247237,-73.743666666045002 41.392797840708859,-73.743999999533756 41.39222049017048,-73.74466666651125 41.39222049017048,-73.745 41.392797840708859))"
"POLYGON ((-73.745 41.393952541785623,-73.74466666651125 41.394529892324002,-73.743999999533756 41.394529892324002,-73.743666666045002 41.393952541785623,-73.743999999533756 41.393375191247237,-73.74466666651125 41.393375191247237,-73.745 41.393952541785623))"
"POLYGON ((-73.745 41.39510724286238,-73.74466666651125 41.395684593400759,-73.743999999533756 41.395684593400759,-73.743666666045002 41.39510724286238,-73.743999999533756 41.394529892324002,-73.74466666651125 41.394529892324002,-73.745 41.39510724286238))"
"POLYGON ((-73.745 41.396261943939137,-73.74466666651125 41.396839294477523,-73.743999999533756 41.396839294477523,-73.743666666045002 41.396261943939137,-73.743999999533756 41.395684593400759,-73.74466666651125 41.395684593400759,-73.745 41.396261943939137))"
"POLYGON ((-73.745 41.397416645015902,-73.74466666651125 41.39799399555428,-73.743999999533756 41.39799399555428,-73.743666666045002 41.397416645015902,-73.743999999533756 41.396839294477523,-73.74466666651125 41.396839294477523,-73.745 41.397416645015902))"
"POLYGON ((-73.745 41.398571346092659,-73.74466666651125 41.399148696631038,-73.743999999533756 41.399148696631038,-73.743666666045002 41.398571346092659,-73.743999999533756 41.39799399555428,-73.74466666651125 41.39799399555428,-73.745 41.398571346092659))"
"POLYGON ((-73.745 41.399726047169423,-73.74466666651125 41.400303397707802,-73.743999999533756 41.400303397707802,-73.743666666045002 41.399726047169423,-73.743999999533756 41.399148696631038,-73.74466666651125 41.399148696631038,-73.745 41.399726047169423))"
"POLYGON ((-73.745 41.40088074824618,-73.74466666651125 41.401458098784559,-73.743999999533756 41.401458098784559,-73.743666666045002 41.40088074824618,-73.743999999533756 41.400303397707802,-73.74466666651125 41.400303397707802,-73.745 41.40088074824618))"
"POLYGON ((-73.745 41.402035449322938,-73.74466666651125 41.402612799861323,-73.743999999533756 41.402612799861323,-73.743666666045002 41.402035449322938,-73.743999999533756 41.401458098784559,-73.74466666651125 41.401458098784559,-73.745 41.402035449322938))"
"POLYGON ((-73.745 41.403190150399702,-73.74466666651125 41.403767500938081,-73.743999999533756 41.403767500938081,-73.743666666045002 41.403190150399702,-73.743999999533756 41.402612799861323,-73.74466666651125 41.402612799861323,-73.745 41.403190150399702))"
"POLYGON ((-73.745 41.404344851476459,-73.74466666651125 41.404922202014838,-73.743999999533756 41.404922202014838,-73.743666666045002 41.404344851476459,-73.743999999533756 41.403767500938081,-73.74466666651125 41.403767500938081,-73.745 41.404344851476459))"
"POLYGON ((-73.745 41.405499552553223,-73.74466666651125 41.406076903091602,-73.743999999533756 41.406076903091602,-73.743666666045002 41.405499552553223,-73.743999999533756 41.404922202014838,-73.74466666651125 41.404922202014838,-73.745 41.405499552553223))"
"POLYGON ((-73.745 41.406654253629981,-73.74466666651125 41.407231604168359,-73.743999999533756 41.407231604168359,-73.743666666045002 41.406654253629981,-73.743999999533756 41.406076903091602,-73.74466666651125 41.406076903091602,-73.745 41.406654253629981))"
"POLYGON ((-73.745 41.407808954706738,-73.74466666651125 41.408386305245124,-73.743999999533756 41.408386305245124,-73.743666666045002 41.407808954706738,-73.743999999533756 41.407231604168359,-73.74466666651125 41.407231604168359,-73.745 41.407808954706738))"
"POLYGON ((-73.745 41.408963655783502,-73.74466666651125 41.409541006321881,-73.743999999533756 41.409541006321881,-73.743666666045002 41.408963655783502,-73.743999999533756 41.408386305245124,-73.74466666651125 41.408386305245124,-73.745 41.408963655783502))"
"POLYGON ((-73.745 41.410118356860259,-73.74466666651125 41.410695707398638,-73.743999999533756 41.410695707398638,-73.743666666045002 41.410118356860259,-73.743999999533756 41.409541006321881,-73.74466666651125 41.409541006321881,-73.745 41.410118356860259))"
"POLYGON ((-73.745 41.411273057937024,-73.74466666651125 41.411850408475402,-73.743999999533756 41.411850408475402,-73.743666666045002 41.411273057937024,-73.743999999533756 41.410695707398638,-73.74466666651125 41.410695707398638,-73.745 41.411273057937024))"
"POLYGON ((-73.745 41.412427759013781,-73.74466666651125 41.413005109552159,-73.743999999533756 41.413005109552159,-73.743666666045002 41.412427759013781,-73.743999999533756 41.411850408475402,-73.74466666651125 41.411850408475402,-73.745 41.412427759013781))"
"POLYGON ((-73.745 41.413582460090538,-73.74466666651125 41.414159810628924,-73.743999999533756 41.414159810628924,-73.743666666045002 41.413582460090538,-73.743999999533756 41.413005109552159,-73.74466666651125 41.413005109552159,-73.745 41.413582460090538))"
"POLYGON ((-73.745 41.414737161167302,-73.74466666651125 41.415314511705681,-73.743999999533756 41.415314511705681,-73.743666666045002 41.414737161167302,-73.743999999533756 41.414159810628924,-73.74466666651125 41.414159810628924,-73.745 41.414737161167302))"
"POLYGON ((-73.745 41.415891862244059,-73.74466666651125 41.416469212782438,-73.743999999533756 41.416469212782438,-73.743666666045002 41.415891862244059,-73.743999999533756 41.415314511705681,-73.74466666651125 41.415314511705681,-73.745 41.415891862244059))"
"POLYGON ((-73.745 41.417046563320824,-73.74466666651125 41.417623913859202,-73.743999999533756 41.417623913859202,-73.743666666045002 41.417046563320824,-73.743999999533756 41.416469212782438,-73.74466666651125 41.416469212782438,-73.745 41.417046563320824))"
"POLYGON ((-73.745 41.418201264397581,-73.74466666651125 41.41877861493596,-73.743999999533756 41.41877861493596,-73.743666666045002 41.418201264397581,-73.743999999533756 41.417623913859202,-73.74466666651125 41.417623913859202,-73.745 41.418201264397581))"
"POLYGON ((-73.745 41.419355965474338,-73.74466666651125 41.419933316012724,-73.743999999533756 41.419933316012724,-73.743666666045002 41.419355965474338,-73.743999999533756 41.41877861493596,-73.74466666651125 41.41877861493596,-73.745 41.419355965474338))"
"POLYGON ((-73.745 41.420510666551102,-73.74466666651125 41.421088017089481,-73.743999999533756 41.421088017089481,-73.743666666045002 41.420510666551102,-73.743999999533756 41.419933316012724,-73.74466666651125 41.419933316012724,-73.745 41.420510666551102))"
"POLYGON ((-73.745 41.42166536762786,-73.74466666651125 41.422242718166238,-73.743999999533756 41.422242718166238,-73.743666666045002 41.42166536762786,-73.743999999533756 41.421088017089481,-73.74466666651125 41.421088017089481,-73.745 41.42166536762786))"
"POLYGON ((-73.745 41.422820068704624,-73.74466666651125 41.423397419243003,-73.743999999533756 41.423397419243003,-73.743666666045002 41.422820068704624,-73.743999999533756 41.422242718166238,-73.74466666651125 41.422242718166238,-73.745 41.422820068704624))"
"POLYGON ((-73.745 41.423974769781381,-73.74466666651125 41.42455212031976,-73.743999999533756 41.42455212031976,-73.743666666045002 41.423974769781381,-73.743999999533756 41.423397419243003,-73.74466666651125 41.423397419243003,-73.745 41.423974769781381))"
"POLYGON ((-73.745 41.425129470858138,-73.74466666651125 41.425706821396517,-73.743999999533756 41.425706821396517,-73.743666666045002 41.425129470858138,-73.743999999533756 41.42455212031976,-73.74466666651125 41.42455212031976,-73.745 41.425129470858138))"
"POLYGON ((-73.745 41.426284171934903,-73.74466666651125 41.426861522473281,-73.743999999533756 41.426861522473281,-73.743666666045002 41.426284171934903,-73.743999999533756 41.425706821396517,-73.74466666651125 41.425706821396517,-73.745 41.426284171934903))"
"POLYGON ((-73.745 41.42743887301166,-73.74466666651125 41.428016223550038,-73.743999999533756 41.428016223550038,-73.743666666045002 41.42743887301166,-73.743999999533756 41.426861522473281,-73.74466666651125 41.426861522473281,-73.745 41.42743887301166))"
"POLYGON ((-73.745 41.428593574088424,-73.74466666651125 41.429170924626803,-73.743999999533756 41.429170924626803,-73.743666666045002 41.428593574088424,-73.743999999533756 41.428016223550038,-73.74466666651125 41.428016223550038,-73.745 41.428593574088424))"
"POLYGON ((-73.745 41.429748275165181,-73.74466666651125 41.43032562570356,-73.743999999533756 41.43032562570356,-73.743666666045002 41.429748275165181,-73.743999999533756 41.429170924626803,-73.74466666651125 41.429170924626803,-73.745 41.429748275165181))"
"POLYGON ((-73.745 41.430902976241939,-73.74466666651125 41.431480326780317,-73.743999999533756 41.431480326780317,-73.743666666045002 41.430902976241939,-73.743999999533756 41.43032562570356,-73.74466666651125 41.43032562570356,-73.745 41.430902976241939))"
"POLYGON ((-73.745 41.432057677318703,-73.74466666651125 41.432635027857081,-73.743999999533756 41.432635027857081,-73.743666666045002 41.432057677318703,-73.743999999533756 41.431480326780317,-73.74466666651125 41.431480326780317,-73.745 41.432057677318703))"
"POLYGON ((-73.745 41.43321237839546,-73.74466666651125 41.433789728933839,-73.743999999533756 41.433789728933839,-73.743666666045002 41.43321237839546,-73.743999999533756 41.432635027857081,-73.74466666651125 41.432635027857081,-73.745 41.43321237839546))"
"POLYGON ((-73.745 41.434367079472217,-73.74466666651125 41.434944430010603,-73.743999999533756 41.434944430010603,-73.743666666045002 41.434367079472217,-73.743999999533756 41.433789728933839,-73.74466666651125 41.433789728933839,-73.745 41.434367079472217))"
"POLYGON ((-73.745 41.435521780548981,-73.74466666651125 41.43609913108736,-73.743999999533756 41.43609913108736,-73.743666666045002 41.435521780548981,-73.743999999533756 41.434944430010603,-73.74466666651125 41.434944430010603,-73.745 41.435521780548981))"
"POLYGON ((-73.745 41.436676481625739,-73.74466666651125 41.437253832164117,-73.743999999533756 41.437253832164117,-73.743666666045002 41.436676481625739,-73.743999999533756 41.43609913108736,-73.74466666651125 41.43609913108736,-73.745 41.436676481625739))"
"POLYGON ((-73.745 41.437831182702503,-73.74466666651125 41.438408533240882,-73.743999999533756 41.438408533240882,-73.743666666045002 41.437831182702503,-73.743999999533756 41.437253832164117,-73.74466666651125 41.437253832164117,-73.745 41.437831182702503))"
"POLYGON ((-73.745 41.43898588377926,-73.74466666651125 41.439563234317639,-73.743999999533756 41.439563234317639,-73.743666666045002 41.43898588377926,-73.743999999533756 41.438408533240882,-73.74466666651125 41.438408533240882,-73.745 41.43898588377926))"
